IVIRSE | DEBUG flwr 2023-07-17 11:12:11,844 | server.py:168 | evaluate_round 3: strategy sampled 2 clients (out of 2)
IVIRSE | DEBUG flwr 2023-07-17 11:12:17,208 | server.py:182 | evaluate_round 3 received 2 results and 0 failures
IVIRSE | DEBUG flwr 2023-07-17 11:12:17,209 | server.py:218 | fit_round 4: strategy sampled 2 clients (out of 2)
IVIRSE | DEBUG flwr 2023-07-17 11:12:50,827 | server.py:232 | fit_round 4 received 2 results and 0 failures
IVIRSE | DEBUG flwr 2023-07-17 11:12:50,842 | server.py:168 | evaluate_round 4: strategy sampled 2 clients (out of 2)
IVIRSE | DEBUG flwr 2023-07-17 11:12:55,888 | server.py:182 | evaluate_round 4 received 2 results and 0 failures
IVIRSE | INFO flwr 2023-07-17 11:12:55,889 | server.py:147 | FL finished in 170.8577081
IVIRSE | INFO flwr 2023-07-17 11:12:55,890 | app.py:218 | app_fit: losses_distributed [(1, 622.0778198242188), (2, 504.5858459472656), (3, 474.0787048339844), (4, 437.7008056640625)]
IVIRSE | INFO flwr 2023-07-17 11:12:55,892 | app.py:219 | app_fit: metrics_distributed_fit {}
IVIRSE | INFO flwr 2023-07-17 11:12:55,893 | app.py:220 | app_fit: metrics_distributed {}
IVIRSE | INFO flwr 2023-07-17 11:12:55,894 | app.py:221 | app_fit: losses_centralized []
IVIRSE | INFO flwr 2023-07-17 11:12:55,895 | app.py:222 | app_fit: metrics_centralized {}
IVIRSE | INFO flwr 2023-07-17 11:15:52,595 | app.py:148 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
IVIRSE | INFO flwr 2023-07-17 11:15:53,560 | app.py:168 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
IVIRSE | INFO flwr 2023-07-17 11:15:53,561 | server.py:86 | Initializing global parameters
IVIRSE | INFO flwr 2023-07-17 11:15:53,561 | server.py:273 | Requesting initial parameters from one random client
IVIRSE | INFO flwr 2023-07-17 11:17:12,603 | server.py:277 | Received initial parameters from one random client
IVIRSE | INFO flwr 2023-07-17 11:17:12,604 | server.py:88 | Evaluating initial parameters
IVIRSE | INFO flwr 2023-07-17 11:17:12,604 | server.py:101 | FL starting
IVIRSE | DEBUG flwr 2023-07-17 11:17:15,768 | server.py:218 | fit_round 1: strategy sampled 2 clients (out of 2)
IVIRSE | DEBUG flwr 2023-07-17 11:17:49,067 | server.py:232 | fit_round 1 received 2 results and 0 failures
IVIRSE | WARNING flwr 2023-07-17 11:17:49,096 | fedavg.py:243 | No fit_metrics_aggregation_fn provided
IVIRSE | DEBUG flwr 2023-07-17 11:17:49,097 | server.py:168 | evaluate_round 1: strategy sampled 2 clients (out of 2)
IVIRSE | DEBUG flwr 2023-07-17 11:17:54,290 | server.py:182 | evaluate_round 1 received 2 results and 0 failures
IVIRSE | WARNING flwr 2023-07-17 11:17:54,290 | fedavg.py:274 | No evaluate_metrics_aggregation_fn provided
IVIRSE | DEBUG flwr 2023-07-17 11:17:54,291 | server.py:218 | fit_round 2: strategy sampled 2 clients (out of 2)
IVIRSE | DEBUG flwr 2023-07-17 11:18:27,880 | server.py:232 | fit_round 2 received 2 results and 0 failures
IVIRSE | DEBUG flwr 2023-07-17 11:18:27,896 | server.py:168 | evaluate_round 2: strategy sampled 2 clients (out of 2)
IVIRSE | DEBUG flwr 2023-07-17 11:18:32,937 | server.py:182 | evaluate_round 2 received 2 results and 0 failures
IVIRSE | INFO flwr 2023-07-17 11:18:32,938 | server.py:147 | FL finished in 80.3330464
IVIRSE | INFO flwr 2023-07-17 11:18:32,939 | app.py:218 | app_fit: losses_distributed [(1, 637.8572998046875), (2, 526.4951782226562)]
IVIRSE | INFO flwr 2023-07-17 11:18:32,941 | app.py:219 | app_fit: metrics_distributed_fit {}
IVIRSE | INFO flwr 2023-07-17 11:18:32,942 | app.py:220 | app_fit: metrics_distributed {}
IVIRSE | INFO flwr 2023-07-17 11:18:32,945 | app.py:221 | app_fit: losses_centralized []
IVIRSE | INFO flwr 2023-07-17 11:18:32,946 | app.py:222 | app_fit: metrics_centralized {}
IVIRSE | INFO flwr 2023-07-17 11:19:59,838 | app.py:148 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
IVIRSE | INFO flwr 2023-07-17 11:20:00,420 | app.py:168 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
IVIRSE | INFO flwr 2023-07-17 11:20:00,420 | server.py:86 | Initializing global parameters
IVIRSE | INFO flwr 2023-07-17 11:20:00,422 | server.py:273 | Requesting initial parameters from one random client
IVIRSE | INFO flwr 2023-07-17 11:20:07,704 | server.py:277 | Received initial parameters from one random client
IVIRSE | INFO flwr 2023-07-17 11:20:07,704 | server.py:88 | Evaluating initial parameters
IVIRSE | INFO flwr 2023-07-17 11:20:07,705 | server.py:101 | FL starting
IVIRSE | DEBUG flwr 2023-07-17 11:20:10,362 | server.py:218 | fit_round 1: strategy sampled 2 clients (out of 2)
IVIRSE | DEBUG flwr 2023-07-17 11:20:44,498 | server.py:232 | fit_round 1 received 2 results and 0 failures
IVIRSE | WARNING flwr 2023-07-17 11:20:44,523 | fedavg.py:243 | No fit_metrics_aggregation_fn provided
IVIRSE | DEBUG flwr 2023-07-17 11:20:44,526 | server.py:168 | evaluate_round 1: strategy sampled 2 clients (out of 2)
